,word,year,proportion,zipf_test,moment
165,hyperlink,1988,7.387022099144584e-07,4.866566542311877,0.7338247674658078
207,drag race,1948,1.089587168164612e-06,1.8549700803384104,0.7354936878233156
341,totem pole,1880,8.495086395859688e-07,1.3417612346154495,0.7402444495873939
378,bologna,1850,3.3149261669911324e-06,2.6490036774922854,0.7428282178271278
289,polio,1911,2.696263066187773e-06,2.150259804702599,0.7431232039587696
297,mozzarella,1911,4.5891874790935735e-06,2.0496610478312225,0.7456511169521282
225,choreograph,1943,1.098819537247757e-06,2.349565995939542,0.751448792775784
280,straight man,1923,2.0776026511613363e-06,1.6028091681271863,0.7528792050162135
349,croissant,1875,1.8282879695382846e-06,2.017752637913419,0.7610914827289921
339,pathogen,1880,1.0526506491281028e-06,1.87070948004228,0.7657683551914074
313,ring up,1900,1.4312373819111427e-06,3.849344266779179,0.7781342439224341
401,effortless,1801,9.97247983384519e-07,2.4134823195782182,0.8017481217617792
374,ice age,1855,1.4958739088361625e-06,2.752903209678481,0.8087616227384129
12,bucket list,2006,3.3241642418581385e-06,12.39637074592136,0.8107443016209102
338,martian,1880,3.6288746062047767e-06,3.197508825001341,0.8187916749224384
348,top hat,1879,1.652848331368352e-06,2.5447918845033186,0.8246524364839171
303,shrug off,1902,7.387031648573641e-07,1.28325327327325,0.8274835732746656
209,origami,1948,1.7267164156750466e-06,3.503859158910412,0.8332056754475192
23,parkour,2002,1.920625745777592e-06,1.9337311236815475,0.8341371688478281
266,recap,1926,1.2557937568545795e-06,9.12931126324845,0.8539254068546942
322,put through,1888,9.233789560717053e-07,1.7041742941988678,0.8569491187078145
323,shutdown,1888,1.7913528590425618e-06,1.8272099081580235,0.8793538601826717
80,webcam,1995,2.696263066187773e-06,1.4203079095769282,0.8937632064343276
229,payout,1943,1.8282879695382846e-06,1.2665009728339338,0.8938667066352107
226,gear up,1943,1.0157168516788756e-06,1.9424175212075008,0.9015687511383644
258,bop,1928,3.324159944615063e-06,11.216732578405411,0.9090205169554
340,price tag,1880,2.197641915450658e-06,2.3079738957020908,0.9097172618444336
257,background music,1928,1.2557953802575189e-06,4.416796531220356,0.9232495836147988
242,viral,1937,5.115512803657625e-06,5.559666133631279,0.9353763503506622
8,hashtag,2007,5.281720800888378e-06,6.110919989525023,0.9409016928270542
180,cpu,1962,3.573471940461193e-06,15.569867856121965,0.9434737196119428
308,goo,1900,4.912369695931149e-06,48.82208184313391,1.0546894153266348
320,nickelodeon,1888,3.370328832734717e-06,2.6094854203262012,1.0559171154351474
224,vegan,1944,1.3342808666579905e-05,3.032188034642356,1.06438934269404
291,zing,1911,1.7082488604271852e-06,69.87614961011346,1.1001584232115564
182,salsa,1962,6.906865662700186e-06,2.353014876837376,1.1653995110871174
306,dorm,1900,2.4728056476886496e-05,3.3844829675461376,1.1660606150731163
342,act up,1879,2.456188023150736e-06,1.5171243114329882,1.1796363315248286
153,emo,1988,4.7923305868200495e-06,36.549103522908005,1.1821255378864317
403,pajama,1801,9.418453176409346e-06,3.066323812634417,1.2227982719103516
145,spam,1990,1.213318379784498e-05,10.566426194143467,1.3455490432727781
234,hobbit,1937,1.530036952285322e-05,3.72353817505346,1.4791964858878224
377,shenanigan,1855,7.137710103298454e-06,2.2270976605074964,1.5737727181586012
232,burger,1937,5.0527231158148964e-05,4.434074476687912,1.6247307533572006
235,logo,1937,7.091541215178801e-06,3.2264369353377886,1.6932348205349006
86,wiki,1995,9.298414067298244e-06,116.06000054970856,1.8767351793565208
406,lunch,1800,8.92721620681623e-05,4.701997892421217,1.949109695020652
38,blog,1999,1.1339078922186938e-05,37.58970436923311,2.030966658748364
270,mike,1924,2.445104314816857e-05,14.054752331685975,2.1199332998292286
7,walk back,2006,1.1736146531671373e-05,4.1985258487248345,2.175730273711201
277,jeez,1923,8.568945635007719e-06,3.5388655972742624,2.2860118271874623
381,lit,1850,1.6897813051793234e-05,84.73373387955264,2.303154379243237
333,pic,1884,4.8292656973157724e-05,125.72952422516157,2.8350786648615167
321,nope,1888,0.00010073128009946034,5.836903347325492,3.0698463097903
106,deni,1992,3.624257717392812e-05,6.691382711956309,3.1577426554028065
183,uh,1962,4.591034234618359e-05,38.70752382128214,3.530790400917152
268,id,1924,0.0008265523702285357,151.27067474103953,3.942274434348713
